Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,14.78125,False,FORWARD
scenario_1on,14.7578125,False,FORWARD
scenario_1on,14.7734375,False,FORWARD
scenario_1on,14.75,False,FORWARD
scenario_1on,14.765625,False,FORWARD
scenario_1on,14.7421875,False,FORWARD
scenario_1on,14.7734375,False,FORWARD
scenario_1on,14.734375,False,FORWARD
scenario_1on,14.765625,False,FORWARD
scenario_1on,14.7265625,False,FORWARD
scenario_1on,14.75,False,FORWARD
scenario_1on,14.7265625,False,FORWARD
scenario_1on,14.6796875,False,FORWARD
scenario_1on,14.6796875,False,FORWARD
scenario_1on,14.6875,False,FORWARD
scenario_1on,14.660156,False,FORWARD
scenario_1on,14.5625,False,FORWARD
scenario_1on,14.5625,False,FORWARD
scenario_1on,14.5703125,False,FORWARD
scenario_1on,14.4375,False,FORWARD
scenario_1on,14.4453125,False,FORWARD
scenario_1on,14.4453125,False,FORWARD
scenario_1on,14.328125,False,FORWARD
scenario_1on,14.3203125,False,FORWARD
scenario_1on,14.328125,False,FORWARD
scenario_1on,14.203125,False,FORWARD
scenario_1on,14.2109375,False,FORWARD
scenario_1on,14.2109375,False,FORWARD
scenario_1on,14.09375,False,FORWARD
scenario_1on,14.1015625,False,FORWARD
scenario_1on,13.9765625,False,FORWARD
scenario_1on,13.984375,True,FORWARD
scenario_1on,13.984375,True,FORWARD
scenario_1on,13.875,True,FORWARD
scenario_1on,13.875,True,FORWARD
scenario_1on,13.765625,True,FORWARD
scenario_1on,13.7578125,False,FORWARD
scenario_1on,13.65625,False,FORWARD
scenario_1on,13.65625,True,FORWARD
scenario_1on,13.546875,True,FORWARD
scenario_1on,13.546875,False,FORWARD
scenario_1on,13.1875,True,FORWARD
scenario_1on,13.203125,True,FORWARD
scenario_1on,13.171875,True,FORWARD
scenario_1on,13.1875,True,FORWARD
scenario_1on,11.9296875,False,FORWARD
scenario_1on,11.9453125,True,FORWARD
scenario_1on,11.921875,True,FORWARD
scenario_1on,11.9296875,False,FORWARD
scenario_1on,10.890625,True,FORWARD
scenario_1on,10.90625,True,FORWARD
scenario_1on,10.8828125,True,FORWARD
scenario_1on,10.8984375,True,FORWARD
scenario_1on,10.015625,True,FORWARD
scenario_1on,10.027344,True,FORWARD
scenario_1on,10.0078125,True,FORWARD
scenario_1on,9.2890625,True,STOP
Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,0.7651367,True,STOP
Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.6875,True,FORWARD
scenario_1on,22.671875,True,FORWARD
scenario_1on,22.671875,True,FORWARD
scenario_1on,22.671875,True,FORWARD
scenario_1on,22.671875,True,FORWARD
scenario_1on,22.6875,True,FORWARD
scenario_1on,22.6875,True,FORWARD
scenario_1on,22.6875,True,FORWARD
scenario_1on,22.703125,True,FORWARD
scenario_1on,22.703125,True,FORWARD
scenario_1on,22.703125,True,FORWARD
scenario_1on,22.703125,True,FORWARD
scenario_1on,22.703125,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,22.703125,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,23.03125,True,FORWARD
scenario_1on,22.71875,True,FORWARD
scenario_1on,23.171875,True,FORWARD
scenario_1on,23.046875,True,FORWARD
scenario_1on,23.046875,True,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,999.0,False,FORWARD
scenario_1on,24.453125,True,FORWARD
scenario_1on,23.15625,True,FORWARD
scenario_1on,23.09375,True,FORWARD
scenario_1on,22.46875,True,FORWARD
scenario_1on,22.796875,True,FORWARD
scenario_1on,22.484375,True,FORWARD
scenario_1on,22.640625,True,FORWARD
scenario_1on,22.5,True,FORWARD
scenario_1on,22.515625,True,FORWARD
scenario_1on,22.21875,True,FORWARD
scenario_1on,22.53125,True,FORWARD
scenario_1on,22.234375,True,FORWARD
scenario_1on,22.15625,True,FORWARD
scenario_1on,22.140625,True,FORWARD
scenario_1on,22.375,True,FORWARD
scenario_1on,22.359375,True,FORWARD
scenario_1on,22.59375,True,FORWARD
scenario_1on,22.34375,True,FORWARD
scenario_1on,22.59375,True,FORWARD
